SBLnr,SBLlength,titel,Fodd,Dod,Band,Year
7040,30354,A Richard Runmark,"Född:1885-01-24 – Jällby församling, Älvsborgs län","Död:1959-12-01 – Gustav Vasa församling, Stockholms län","Band 30 (1998-2000), sida 747.",1998-2000
7042,65405,Åke Runnquist,"Född:1919-05-23 – Adolf Fredriks församling, Stockholms län","Död:1991-04-23 – Matteus församling (AB-län), Stockholms län","Band 30 (1998-2000), sida 749.",1998-2000
7043,88642,Johan (John) A M Runnström,"Född:1888-06-17 – Katarina församling, Stockholms län","Död:1971-01-20 – Gustav Vasa församling, Stockholms län","Band 30 (1998-2000), sida 753.",1998-2000
7045,100193,J Israel Ruong,"Född:1903-05-26 – Arjeplogs församling, Norrbottens län","Död:1986-04-06 – Uppsala domkyrkoförsamling, Uppsala län","Band 30 (1998-2000), sida 759.",1998-2000
7047,50544,J Åke J Rusck,"Född:1912-08-09 – Ringarums församling, Östergötlands län","Död:1978-09-24 – Frötuna församling, Stockholms län (kbf i Nacka)","Band 30 (1998-2000), sida 764.",1998-2000
7048,21140,Johann Heinrich Russworm,"Född:1679 – Tyskland (i Leipzig, Nik)","Död:1731-06-10 – Tyska Sankta Gertruds församling, Stockholms län","Band 30 (1998-2000), sida 767.",1998-2000
7050,36436,Johan J Rutberg,"Född:1787-10-25 – Nederkalix församling, Norrbottens län","Död:1854-01-22 – Stockholms domkyrkoförsamling, Stockholms län (enl db för Nederkalix)","Band 30 (1998-2000), sida 768.",1998-2000
7051,48717,Patrick Ruthven,Född:1586 omkr – Storbritannien och Nordirland (i Skottland),"Död:1651-02-02 – Storbritannien och Nordirland (i Dundee, Skottland)","Band 30 (1998-2000), sida 770.",1998-2000
7052,68976,Anders Carl Rutström,"Född:1721-11-30 – Nederluleå församling, Norrbottens län","Död:1772-10-27 – Hedvig Eleonora församling, Stockholms län","Band 30 (1998-2000), sida 774.",1998-2000
7055,45297,"Ruuth, släkter",,,"Band 30 (1998-2000), sida 779.",1998-2000
7059,87230,Eric Ruuth,"Född:1746-10-24 – Skeppsholms församling, Stockholms län","Död:1820-05-25 – Klara församling, Stockholms län","Band 30 (1998-2000), sida 782.",1998-2000
7062,31926,K Gösta H Rybrant,"Född:1904-01-20 – Norrköpings Sankt Olai församling, Östergötlands län","Död:1967-08-16 – Högalids församling, Stockholms län","Band 30 (1998-2000), sida 789.",1998-2000
7063,53980,Stig A Rybrant,"Född:1916-08-08 – Norrköpings Sankt Olai församling, Östergötlands län","Död:1985-08-09 – Norge (i Geiranger, enl db för Sthlm, Hägersten.)","Band 30 (1998-2000), sida 791.",1998-2000
7064,35048,Anna Maria Rückerschöld,"Född:1725-02-05 – Hedemora landsförsamling, Dalarnas län","Död:1805-05-25 – Jakobs församling, Stockholms län","Band 30 (1998-2000), sida 795.",1998-2000
7065,29025,Carl M Ryd,"Född:1883-08-13 – Lekaryds församling, Kronobergs län","Död:1958-08-26 – Växjö domkyrkoförsamling, Kronobergs län (kbf i Lekaryd)","Band 30 (1998-2000), sida 797.",1998-2000
7066,49376,Fredrik (Fritz) W H Pegelow,"Född:1852-04-15 – Västra Alstads församling, Skåne län","Död:1925-10-13 – Klara församling, Stockholms län","Band 29 (1995-1997), sida 1.",1995-1997
7069,35152,Per Pehrson,"Född:1845-09-03 – Bräkne-Hoby församling, Blekinge län","Död:1915-03-17 – Åryds församling, Blekinge län","Band 29 (1995-1997), sida 4.",1995-1997
7070,65947,G Torsten Pehrson,"Född:1887-11-10 – Maria Magdalena församling, Stockholms län","Död:1970-03-10 – Solna församling, Stockholms län (enl db för Sthlm,Kungsh.)","Band 29 (1995-1997), sida 6.",1995-1997
7072,40172,Johan Pehrsson,"Född:1700-08-02 – Gustafs församling, Dalarnas län","Död:1756-04-16 – Stockholms domkyrkoförsamling, Stockholms län","Band 29 (1995-1997), sida 10.",1995-1997
